name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
John Stewart,Male,green,Human,Black,185,DC Comics,-,good,90
John Wraith,Male,brown,-,Black,183,Marvel Comics,-,good,88
Joker,Male,green,Human,Green,196,DC Comics,white,bad,86
Jolt,Female,blue,-,Black,165,Marvel Comics,-,good,49
Jubilee,Female,red,Mutant,Black,165,Marvel Comics,-,good,52
Judge Dredd,Male,-,Human,-,188,Rebellion,-,good,0
Juggernaut,Male,blue,Human,Red,287,Marvel Comics,-,neutral,855
Junkpile,Male,-,Mutant,-,0,Marvel Comics,-,bad,0
Justice,Male,hazel,Human,Brown,178,Marvel Comics,-,good,81
Jyn Erso,Female,green,Human,Brown,0,George Lucas,-,good,0
K-2SO,Male,white,Android,No Hair,213,George Lucas,gray,good,0
Kang,Male,brown,-,Brown,191,Marvel Comics,-,bad,104
Karate Kid,Male,brown,Human,Brown,173,DC Comics,-,good,72
Kathryn Janeway,Female,-,Human,-,0,Star Trek,-,good,0
Katniss Everdeen,Female,-,Human,-,0,none,-,good,0
Kevin 11,Male,-,Human,Black,0,DC Comics,-,good,0
Kick-Ass,Male,blue,Human,Blond,0,Icon Comics,-,good,0
Kid Flash,Male,green,Human,Red,0,DC Comics,-,good,0
Kid Flash II,Male,-,-,-,0,DC Comics,-,good,0
Killer Croc,Male,red,Metahuman,No Hair,244,DC Comics,green,bad,356
Killer Frost,Female,blue,Human,Blond,0,DC Comics,blue,bad,0
Kilowog,Male,red,Bolovaxian,No Hair,234,DC Comics,pink,good,324
King Kong,Male,yellow,Animal,Black,30.5,none,-,good,none
King Shark,Male,black,Animal,No Hair,0,DC Comics,-,bad,0
Kingpin,Male,blue,Human,No Hair,201,Marvel Comics,-,bad,203
Klaw,Male,red,Human,No Hair,188,Marvel Comics,red,bad,97
Kool-Aid Man,Male,black,-,No Hair,0,none,red,good,0
Kraven II,Male,brown,Human,Black,191,Marvel Comics,-,bad,99
Kraven the Hunter,Male,brown,Human,Black,183,Marvel Comics,-,bad,106
Krypto,Male,blue,Kryptonian,White,64,DC Comics,-,good,18
Kyle Rayner,Male,green,Human,Black,180,DC Comics,-,good,79
Kylo Ren,Male,-,Human,-,0,George Lucas,-,bad,0
Lady Bullseye,Female,-,-,Black,0,Marvel Comics,-,bad,0
Lady Deathstrike,Female,brown,Cyborg,Black,175,Marvel Comics,-,bad,58
Leader,Male,green,-,No Hair,178,Marvel Comics,-,bad,63
Leech,Male,-,-,-,0,Marvel Comics,-,good,0
Legion,Male,green / blue,Mutant,Black,175,Marvel Comics,-,good,59
Leonardo,Male,blue,Mutant,No Hair,0,IDW Publishing,green,good,0
Lex Luthor,Male,green,Human,No Hair,188,DC Comics,-,bad,95
Light Lass,Female,blue,-,Red,165,DC Comics,-,good,54
Lightning Lad,Male,blue,-,Red,155,DC Comics,-,good,65
Lightning Lord,Male,blue,-,Red,191,DC Comics,-,bad,95
Living Brain,Other,yellow,-,-,198,Marvel Comics,-,bad,360
Living Tribunal,Other,blue,Cosmic Entity,No Hair,0,Marvel Comics,gold,neutral,0
Liz Sherman,Female,-,-,-,0,Dark Horse Comics,-,good,0
Lizard,Male,red,Human,No Hair,203,Marvel Comics,-,bad,230
Lobo,Male,red,Czarnian,Black,229,DC Comics,blue-white,neutral,288
Loki,Male,green,Asgardian,Black,193,Marvel Comics,-,bad,236
Longshot,Male,blue,Human,Blond,188,Marvel Comics,-,good,36
Luke Cage,Male,brown,Human,Black,198,Marvel Comics,-,good,191
Luke Campbell,Male,-,-,-,0,NBC - Heroes,-,bad,0
Luke Skywalker,Male,blue,Human,Blond,168,George Lucas,-,good,77
Luna,Female,-,Human,-,0,Marvel Comics,-,good,0
Lyja,Female,green,-,Green,0,Marvel Comics,-,good,0
Mach-IV,Male,brown,-,Brown,180,Marvel Comics,-,bad,79
Machine Man,Other,red,-,Black,183,Marvel Comics,-,good,383
Magneto,Male,grey,Mutant,White,188,Marvel Comics,-,bad,86
Magog,Male,blue,-,Blond,0,DC Comics,-,good,0
Magus,Male,black,-,-,183,Marvel Comics,-,bad,0
Man of Miracles,Other,blue,God / Eternal,Silver,0,Image Comics,-,-,0
Man-Bat,Male,brown,Human,Brown,0,DC Comics,-,neutral,0
Man-Thing,Male,red,-,No Hair,213,Marvel Comics,green,good,225
Man-Wolf,Male,brown,-,Auburn,188,Marvel Comics,-,good,90
Mandarin,Male,blue,Human,White,188,Marvel Comics,-,bad,97
Mantis,Female,green,Human-Kree,Black,168,Marvel Comics,green,good,52
Martian Manhunter,Male,red,Martian,No Hair,201,DC Comics,green,good,135
Marvel Girl,Female,green,-,Red,170,Marvel Comics,-,good,56
Master Brood,Male,blue,-,Black,183,Team Epic TV,-,good,81
Master Chief,Male,brown,Human / Altered,Brown,213,Microsoft,-,good,0
Match,Male,black,-,Black,0,DC Comics,-,bad,0
Matt Parkman,Male,-,-,-,0,NBC - Heroes,-,good,0
Maverick,Male,blue,-,Black,193,Marvel Comics,-,good,110
Maxima,Female,brown,-,Red,180,DC Comics,-,bad,72
Maya Herrera,Female,-,-,-,0,NBC - Heroes,-,good,0
Medusa,Female,green,Inhuman,Red,180,Marvel Comics,-,good,59
Meltdown,Female,blue,-,Blond,165,Marvel Comics,-,good,54
Mephisto,Male,white,-,Black,198,Marvel Comics,-,bad,140
Mera,Female,blue,Atlantean,Red,175,DC Comics,-,good,72
Metallo,Male,green,Android,Brown,196,DC Comics,-,bad,90
Metamorpho,Male,black,-,No Hair,185,DC Comics,-,good,90
Meteorite,Female,-,-,-,0,Marvel Comics,-,good,0
Metron,Male,blue,-,Black,185,DC Comics,-,good,86
Micah Sanders,Male,brown,-,Black,0,NBC - Heroes,-,good,0
Michelangelo,Male,blue,Mutant,-,0,IDW Publishing,green,good,0
Micro Lad,Male,grey,-,Brown,183,DC Comics,-,good,77
Mimic,Male,brown,-,Brown,188,Marvel Comics,-,good,101
Minna Murray,Female,-,-,-,0,Wildstorm,-,good,0
Misfit,Female,blue,-,Red,0,DC Comics,-,good,0
Miss Martian,Female,red,-,Red,178,DC Comics,-,good,61
Mister Fantastic,Male,brown,Human / Radiation,Brown,185,Marvel Comics,-,good,81
Mister Freeze,Male,-,Human,-,183,DC Comics,-,bad,86
Mister Knife,Male,blue,Spartoi,Brown,0,Marvel Comics,-,bad,0
Mister Mxyzptlk,Male,-,God / Eternal,-,0,DC Comics,-,bad,0
Mister Sinister,Male,red,Human / Altered,Black,196,Marvel Comics,-,bad,128
Mister Zsasz,Male,blue,Human,Blond,0,DC Comics,-,bad,0
Mockingbird,Female,blue,Human,Blond,175,Marvel Comics,-,good,61
MODOK,Male,white,Cyborg,Brownn,366,Marvel Comics,-,bad,338
Mogo,Male,-,Planet,-,0,DC Comics,-,good,0
Mohinder Suresh,Male,-,-,-,0,NBC - Heroes,-,good,0
Moloch,Male,-,-,-,0,DC Comics,-,bad,0
Molten Man,Male,gold,-,Gold,196,Marvel Comics,-,bad,248
Monarch,Male,blue,-,White,193,DC Comics,-,good,90
Monica Dawson,Female,-,-,-,0,NBC - Heroes,-,good,0
Moon Knight,Male,brown,Human,Brown,188,Marvel Comics,-,good,101
Moonstone,Female,blue,-,Blond,180,Marvel Comics,-,bad,59
Morlun,Male,white / red,-,Black,188,Marvel Comics,-,bad,79
Morph,Male,white,-,No Hair,178,Marvel Comics,-,good,79
Moses Magnum,Male,brown,-,Black,175,Marvel Comics,-,bad,72
Mr Immortal,Male,blue,Mutant,Blond,188,Marvel Comics,-,good,70
Mr Incredible,Male,blue,Human,Blond,201,Dark Horse Comics,-,good,158
Ms Marvel II,Female,blue,-,Red,173,Marvel Comics,-,good,61
Multiple Man,Male,blue,-,Brown,180,Marvel Comics,-,good,70
Mysterio,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
Mystique,Female,yellow (without irises),Mutant,Red / Orange,178,Marvel Comics,blue,bad,54
Namor,Male,-,-,-,0,Marvel Comics,-,good,0
Namor,Male,grey,Atlantean,Black,188,Marvel Comics,-,good,125
Namora,Female,blue,-,Blond,180,Marvel Comics,-,good,85
Namorita,Female,blue,-,Blond,168,Marvel Comics,-,good,101
Naruto Uzumaki,Male,-,Human,-,168,Shueisha,-,good,54
Nathan Petrelli,Male,brown,-,-,0,NBC - Heroes,-,good,0
Nebula,Female,blue,Luphomoid,No Hair,185,Marvel Comics,blue,bad,83
Negasonic Teenage Warhead,Female,black,Mutant,Black,0,Marvel Comics,-,good,0
Nick Fury,Male,brown,Human,Brown / White,185,Marvel Comics,-,good,99
Nightcrawler,Male,yellow,-,Indigo,175,Marvel Comics,-,good,88
Nightwing,Male,blue,Human,Black,178,DC Comics,-,good,79
Niki Sanders,Female,blue,-,Blond,0,NBC - Heroes,-,good,0
Nina Theroux,Female,-,Alpha,-,0,SyFy,-,good,0
Nite Owl II,Male,-,-,-,0,DC Comics,-,good,0
Northstar,Male,blue,-,Black,180,Marvel Comics,-,good,83
Nova,Male,brown,Human,Brown,185,Marvel Comics,-,good,86
Nova,Female,white,Human / Cosmic,Red,163,Marvel Comics,gold,good,59
Odin,Male,blue,God / Eternal,White,206,Marvel Comics,-,good,293
Offspring,Male,-,-,-,0,DC Comics,-,good,0
Omega Red,Male,red,-,Blond,211,Marvel Comics,-,bad,191
Omniscient,Male,brown,-,Black,180,Team Epic TV,-,good,65
One Punch Man,Male,-,Human,No Hair,175,Shueisha,-,good,69
One-Above-All,Other,-,Cosmic Entity,-,0,Marvel Comics,-,neutral,0
Onslaught,Male,red,Mutant,No Hair,305,Marvel Comics,-,bad,405
Oracle,Female,blue,Human,Red,178,DC Comics,-,good,59
Osiris,Male,brown,-,Brown,0,DC Comics,-,good,0
Overtkill,Male,-,-,-,0,Image Comics,-,bad,0
Ozymandias,Male,blue,Human,Blond,0,DC Comics,-,bad,0
Parademon,Other,-,Parademon,-,0,DC Comics,-,bad,0
Paul Blart,Male,-,Human,-,170,Sony Pictures,-,good,117
Penance,Other,-,-,-,0,Marvel Comics,-,good,0
Penance I,Female,-,-,-,0,Marvel Comics,-,good,0
Penance II,Male,blue,-,Blond,183,Marvel Comics,-,good,89
Penguin,Male,blue,Human,Black,157,DC Comics,-,bad,79
Peter Petrelli,Male,-,-,-,0,NBC - Heroes,-,good,0
Phantom,Male,-,-,-,0,DC Comics,-,good,0
Phantom Girl,Female,blue,-,Black,168,DC Comics,-,good,54
Phoenix,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
Plantman,Male,green,Mutant,Grey,183,Marvel Comics,-,bad,87
Plastic Lad,Male,-,-,-,0,DC Comics,-,good,0
Plastic Man,Male,blue,Human,Black,185,DC Comics,-,good,80
Plastique,Female,blue,-,Red,168,DC Comics,-,bad,55
Poison Ivy,Female,green,Human,Red,168,DC Comics,green,bad,50
Polaris,Female,green,Mutant,Green,170,Marvel Comics,-,good,52
Power Girl,Female,blue,Kryptonian,blond,180,DC Comics,-,good,81
Power Man,Male,-,Mutant,-,0,Marvel Comics,-,good,0
Predator,Male,-,Yautja,-,213,Dark Horse Comics,-,bad,234
Professor X,Male,blue,Mutant,No Hair,183,Marvel Comics,-,good,86
Professor Zoom,Male,blue,Human,Strawberry Blond,180,DC Comics,-,bad,81
Proto-Goblin,Male,green,-,Blond,0,Marvel Comics,-,bad,0
Psylocke,Female,blue,Mutant,Purple,180,Marvel Comics,-,good,70
Punisher,Male,blue,Human,Black,183,Marvel Comics,-,good,90
Purple Man,Male,purple,Human,Purple,180,Marvel Comics,purple,bad,74
Pyro,Male,blue,-,Blond,178,Marvel Comics,-,bad,68
Q,Male,-,God / Eternal,-,0,Star Trek,-,-,0
Quantum,Male,-,-,-,0,HarperCollins,-,good,0
Question,Male,blue,Human,Blond,188,DC Comics,-,good,83
Quicksilver,Male,blue,Mutant,Silver,183,Marvel Comics,-,good,79
Quill,Male,brown,-,Brown,163,Marvel Comics,-,good,56
Ra's Al Ghul,Male,green,Human,Grey,193,DC Comics,-,bad,97
Rachel Pirzad,Female,-,Alpha,-,0,SyFy,-,good,0
Rambo,Male,brown,Human,Black,178,none,-,good,83
Raphael,Male,-,Mutant,No Hair,0,IDW Publishing,green,good,0
Raven,Female,indigo,Human,Black,165,DC Comics,-,neutral,50
Ray,Male,green,Human,Red,178,DC Comics,-,good,70
Razor-Fist II,Male,blue,-,No Hair,191,Marvel Comics,-,bad,117
Red Arrow,Male,green,Human,Red,180,DC Comics,-,good,83
Red Hood,Male,blue,Human,Black,183,DC Comics,-,neutral,81
Red Hulk,Male,yellow,Human / Radiation,Black,213,Marvel Comics,red,neutral,630
Red Mist,Male,-,-,-,0,Icon Comics,-,bad,0
Red Robin,Male,blue,Human,Black,165,DC Comics,-,good,56
Red Skull,Male,blue,-,No Hair,188,Marvel Comics,-,bad,108
Red Tornado,Male,green,Android,No Hair,185,DC Comics,-,good,146
Redeemer II,Male,-,-,-,0,Image Comics,-,bad,0
Redeemer III,Male,-,-,-,0,Image Comics,-,bad,0
Renata Soliz,Female,-,-,-,0,HarperCollins,-,good,0
Rey,Female,hazel,Human,Brown,297,George Lucas,-,good,0
Rhino,Male,brown,Human / Radiation,Brown,196,Marvel Comics,-,bad,320
Rick Flag,Male,blue,-,Brown,185,DC Comics,-,bad,85
Riddler,Male,-,-,-,0,DC Comics,-,bad,0
Rip Hunter,Male,blue,Human,Blond,0,DC Comics,-,good,0
Ripcord,Female,green,-,Black,180,Marvel Comics,-,good,72
Robin,Male,blue,Human,Black,178,DC Comics,-,good,79
Robin II,Male,blue,Human,Red,183,DC Comics,-,good,101
Robin III,Male,blue,Human,Black,165,DC Comics,-,good,56
Robin V,Male,blue,Human,Black,137,DC Comics,-,good,38
Robin VI,Female,green,Human,Red,0,DC Comics,-,neutral,0
Rocket Raccoon,Male,brown,Animal,Brown,122,Marvel Comics,-,good,25
Rogue,Female,green,-,Brown / White,173,Marvel Comics,-,good,54
Ronin,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
Rorschach,Male,blue,Human,Red,168,DC Comics,-,good,63
Sabretooth,Male,amber,Mutant,Blond,198,Marvel Comics,-,bad,171
Sage,Female,blue,-,Black,170,Marvel Comics,-,good,61
Sandman,Male,brown,Human,Brown,185,Marvel Comics,-,neutral,203
Sasquatch,Male,red,-,Orange,305,Marvel Comics,-,good,900
Sauron,Male,-,Maiar,-,279,J. R. R. Tolkien,-,bad,0
Savage Dragon,Male,-,-,-,0,Image Comics,-,good,0
Scarecrow,Male,blue,Human,Brown,183,DC Comics,-,bad,63
Scarlet Spider,Male,blue,Human,Blond,178,Marvel Comics,-,good,74
Scarlet Spider II,Male,brown,Clone,Brown,193,Marvel Comics,-,good,113
Scarlet Witch,Female,blue,Mutant,Brown,170,Marvel Comics,-,bad,59
Scorpia,Female,green,-,Red,0,Marvel Comics,-,bad,0
Scorpion,Male,brown,Human,Brown,211,Marvel Comics,-,bad,310
Sebastian Shaw,Male,-,Mutant,-,0,Marvel Comics,-,bad,0
Sentry,Male,blue,Mutant,Blond,188,Marvel Comics,-,neutral,87
Shadow King,Other,red,-,-,185,Marvel Comics,-,good,149
Shadow Lass,Female,black,Talokite,Black,173,DC Comics,blue,good,54
Shadowcat,Female,hazel,Mutant,Brown,168,Marvel Comics,-,good,50
Shang-Chi,Male,brown,Human,Black,178,Marvel Comics,-,good,79
Shatterstar,Male,brown,-,Red,191,Marvel Comics,-,good,88
She-Hulk,Female,green,Human,Green,201,Marvel Comics,-,good,315
She-Thing,Female,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,153
Shocker,Male,brown,Human,Brown,175,Marvel Comics,-,bad,79
Shriek,Female,yellow / blue,-,Black,173,Marvel Comics,-,good,52
Shrinking Violet,Female,-,-,-,0,DC Comics,-,good,0
Sif,Female,blue,Asgardian,Black,188,Marvel Comics,-,good,191
Silk,Female,brown,Human,Black,0,Marvel Comics,-,good,0
Silk Spectre,Female,-,-,-,0,DC Comics,-,good,0
Silk Spectre II,Female,-,-,-,0,DC Comics,-,good,0
Silver Surfer,Male,white,Alien,No Hair,193,Marvel Comics,silver,good,101
Silverclaw,Female,brown,-,Black,157,Marvel Comics,-,good,50
Simon Baz,Male,bown,Human,Black,0,DC Comics,-,good,0
Sinestro,Male,black,Korugaran,Black,201,DC Comics,red,neutral,92
Siren,Female,blue,Atlantean,Purple,175,DC Comics,-,bad,72
Siren II,Female,black,-,-,0,DC Comics,-,bad,0
Siryn,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,bad,52
Skaar,Male,green,-,Black,198,Marvel Comics,-,good,180
Snake-Eyes,Male,-,Animal,-,0,Marvel Comics,-,bad,0
Snowbird,Female,white,-,Blond,178,Marvel Comics,-,good,49
Sobek,Male,white,-,No Hair,0,DC Comics,-,good,0
Solomon Grundy,Male,black,Zombie,White,279,DC Comics,-,bad,437
Songbird,Female,green,-,Red / White,165,Marvel Comics,-,good,65
Space Ghost,Male,-,Human,-,188,DC Comics,-,good,113
Spawn,Male,brown,Demon,Black,211,Image Comics,-,good,405
Spectre,Male,white,God / Eternal,No Hair,0,DC Comics,white,good,0
Speedball,Male,-,-,-,0,Marvel Comics,-,good,0
Speedy,Male,-,Human,-,0,DC Comics,-,good,0
Speedy,Female,green,Human,Brown,0,DC Comics,-,good,0
Spider-Carnage,Male,-,Symbiote,-,0,Marvel Comics,-,bad,0
Spider-Girl,Female,blue,Human,Brown,170,Marvel Comics,-,good,54
Spider-Gwen,Female,blue,Human,Blond,165,Marvel Comics,-,good,56
Spider-Man,Male,hazel,Human,Brown,178,Marvel Comics,-,good,74
Spider-Man,Other,red,Human,Brown,178,Marvel Comics,-,good,77
Spider-Man,Male,brown,Human,Black,157,Marvel Comics,-,good,56
Spider-Woman,Female,green,Human,Black,178,Marvel Comics,-,good,59
Spider-Woman II,Female,-,-,-,0,Marvel Comics,-,good,0
Spider-Woman III,Female,brown,-,Brown,173,Marvel Comics,-,good,55
Spider-Woman IV,Female,red,-,White,178,Marvel Comics,-,bad,58
Spock,Male,brown,Human-Vulcan,Black,185,Star Trek,-,good,81
Spyke,Male,brown,Mutant,Blond,183,Marvel Comics,-,good,83
Stacy X,Female,-,-,-,0,Marvel Comics,-,good,0
Star-Lord,Male,blue,Human-Spartoi,Blond,188,Marvel Comics,-,good,79
Stardust,Male,-,-,-,0,Marvel Comics,-,good,0
Starfire,Female,green,Tamaranean,Auburn,193,DC Comics,orange,good,71
Stargirl,Female,blue,Human,Blond,165,DC Comics,-,good,62
Static,Male,brown,Mutant,Black,170,DC Comics,-,good,63
Steel,Male,brown,-,No Hair,201,DC Comics,-,good,131
Stephanie Powell,Female,-,-,Blond,0,ABC Studios,-,good,0
Steppenwolf,Male,red,New God,Black,183,DC Comics,white,bad,91
Storm,Female,blue,Mutant,White,180,Marvel Comics,-,good,57
Stormtrooper,Male,-,Human,-,183,George Lucas,-,bad,0
Sunspot,Male,brown,Mutant,black,173,Marvel Comics,-,good,77
Superboy,Male,blue,-,Black,170,DC Comics,-,good,68
Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180,DC Comics,-,bad,77
Supergirl,Female,blue,Kryptonian,Blond,165,DC Comics,-,good,54
Superman,Male,blue,Kryptonian,Black,191,DC Comics,-,good,101
Swamp Thing,Male,red,God / Eternal,No Hair,0,DC Comics,green,bad,0
Swarm,Male,yellow,Mutant,No Hair,196,Marvel Comics,yellow,bad,47
Sylar,Male,-,-,-,0,NBC - Heroes,-,bad,0
Synch,Male,brown,-,Black,180,Marvel Comics,-,good,74
T-1000,Male,-,Android,-,183,Dark Horse Comics,silver,bad,146
T-800,Male,red,Cyborg,-,0,Dark Horse Comics,-,bad,176
T-850,Male,red,Cyborg,-,0,Dark Horse Comics,-,bad,198
T-X,Female,-,Cyborg,-,0,Dark Horse Comics,silver,bad,149
Taskmaster,Male,brown,Human,Brown,188,Marvel Comics,-,bad,99
Tempest,Female,brown,-,Black,163,Marvel Comics,-,good,54
Thanos,Male,red,Eternal,No Hair,201,Marvel Comics,purple,bad,443
The Cape,Male,-,-,-,0,none,-,good,0
The Comedian,Male,brown,Human,Black,188,DC Comics,-,neutral,101
Thing,Male,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,225
Thor,Male,blue,Asgardian,Blond,198,Marvel Comics,-,good,288
Thor Girl,Female,blue,Asgardian,Blond,175,Marvel Comics,-,good,143
Thunderbird,Male,brown,-,Black,185,Marvel Comics,-,good,101
Thunderbird II,Male,-,-,-,0,Marvel Comics,-,good,0
Thunderbird III,Male,brown,-,Black,175,Marvel Comics,-,good,74
Thunderstrike,Male,blue,-,Blond,198,Marvel Comics,-,good,288
Thundra,Female,green,-,Red,218,Marvel Comics,-,good,158
Tiger Shark,Male,grey,Human,No Hair,185,Marvel Comics,grey,bad,203
Tigra,Female,green,-,Auburn,178,Marvel Comics,-,good,81
Tinkerer,Male,brown,-,White,163,Marvel Comics,-,bad,54
Titan,Male,-,-,-,0,HarperCollins,-,good,0
Toad,Male,black,Mutant,Brown,175,Marvel Comics,green,neutral,76
Toxin,Male,blue,Symbiote,Brown,188,Marvel Comics,-,good,97
Toxin,Male,black,Symbiote,Blond,191,Marvel Comics,-,good,117
Tracy Strauss,Female,-,-,-,0,NBC - Heroes,-,good,0
Trickster,Male,blue,Human,Blond,183,DC Comics,-,-,81
Trigon,Male,yellow,God / Eternal,Black,0,DC Comics,red,bad,0
Triplicate Girl,Female,purple,-,Brown,168,DC Comics,-,good,59
Triton,Male,green,Inhuman,No Hair,188,Marvel Comics,green,good,86
Two-Face,Male,-,-,-,183,DC Comics,-,bad,82
Ultragirl,Female,blue,-,Blond,168,Marvel Comics,-,good,105
Ultron,Male,red,Android,-,206,Marvel Comics,silver,bad,331
Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,-,bad,58
Vagabond,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,good,54
Valerie Hart,Female,hazel,-,Black,175,Team Epic TV,-,good,56
Valkyrie,Female,blue,-,Blond,191,Marvel Comics,-,good,214
Vanisher,Male,green,-,No Hair,165,Marvel Comics,-,bad,79
Vegeta,Male,-,Saiyan,Black,168,Shueisha,-,bad,73
Venom,Male,blue,Symbiote,Strawberry Blond,191,Marvel Comics,-,bad,117
Venom II,Male,brown,-,Black,175,Marvel Comics,-,bad,50
Venom III,Male,brown,Symbiote,Brown,229,Marvel Comics,-,bad,334
Venompool,Male,-,Symbiote,-,226,Marvel Comics,-,-,0
Vertigo II,Female,blue,-,Silver,168,Marvel Comics,-,good,52
Vibe,Male,brown,Human,Black,178,DC Comics,-,good,71
Vindicator,Female,green,Human,Red,165,Marvel Comics,-,good,54
Vindicator,Male,-,-,-,0,Marvel Comics,-,good,0
Violator,Male,-,-,-,0,Image Comics,-,bad,0
Violet Parr,Female,violet,Human,Black,137,Dark Horse Comics,-,good,41
Vision,Male,gold,Android,No Hair,191,Marvel Comics,red,good,135
Vision II,Other,red,-,No Hair,191,Marvel Comics,-,good,135
Vixen,Female,amber,Human,Black,175,DC Comics,-,good,63
Vulcan,Male,black,-,Black,0,Marvel Comics,-,good,0
Vulture,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
Walrus,Male,blue,Human,Black,183,Marvel Comics,-,bad,162
War Machine,Male,brown,Human,Brown,185,Marvel Comics,-,good,95
Warbird,Female,blue,-,Blond,180,Marvel Comics,-,good,54
Warlock,Male,red,-,Blond,188,Marvel Comics,-,good,108
Warp,Male,brown,-,Black,173,DC Comics,-,bad,67
Warpath,Male,brown,Mutant,Black,218,Marvel Comics,-,good,158
Wasp,Female,blue,Human,Auburn,163,Marvel Comics,-,good,50
Watcher,Male,-,-,-,0,Marvel Comics,-,good,0
Weapon XI,Male,-,-,-,0,Marvel Comics,-,bad,0
White Canary,Female,brown,Human,Black,0,DC Comics,-,bad,0
White Queen,Female,blue,-,Blond,178,Marvel Comics,-,good,65
Wildfire,Male,-,-,-,0,DC Comics,-,good,0
Winter Soldier,Male,brown,Human,Brown,175,Marvel Comics,-,good,117
Wiz Kid,Other,brown,-,Black,140,Marvel Comics,-,good,39
Wolfsbane,Female,green,-,Auburn,366,Marvel Comics,-,good,473
Wolverine,Male,blue,Mutant,Black,160,Marvel Comics,-,good,135
Wonder Girl,Female,blue,Demi-God,Blond,165,DC Comics,-,good,51
Wonder Man,Male,red,-,Black,188,Marvel Comics,-,good,171
Wonder Woman,Female,blue,Amazon,Black,183,DC Comics,-,good,74
Wondra,Female,-,-,-,0,Marvel Comics,-,good,0
Wyatt Wingfoot,Male,brown,-,Black,196,Marvel Comics,-,good,117
X-23,Female,green,Mutant / Clone,Black,155,Marvel Comics,-,good,50
X-Man,Male,blue,-,Brown,175,Marvel Comics,-,good,61
Yellow Claw,Male,blue,-,No Hair,188,Marvel Comics,-,bad,95
Yellowjacket,Male,blue,Human,Blond,183,Marvel Comics,-,good,83
Yellowjacket II,Female,blue,Human,Strawberry Blond,165,Marvel Comics,-,good,52
Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,0
Yoda,Male,brown,Yoda's species,White,66,George Lucas,green,good,17
Zatanna,Female,blue,Human,Black,170,DC Comics,-,good,57
Zoom,Male,red,-,Brown,185,DC Comics,-,bad,81
